Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0106007241216466,1.45043594865139,0.243235567534499,0,0,0,107.726187446562,5.6782038141103,2.7603272204579E-05,-1.81388271893312E-07,3.18933313851226,3.81902344842371E-08,4.92859558972679,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/base_link.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_shoulder,-3.96292054727354E-08,0.0726345100381241,-2.167081318942E-07,0,0,0,1.56019572503001,0.00656388679851847,1.41063788210675E-09,9.10761052510705E-10,0.0057934244345591,1.77577535678169E-09,0.00559373575880951,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_shoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_shoulder.STL,,shoulder_pt1-2,Origin_left_shoulder_joint,Axis_left_shoulder_joint,left_shoulder_joint,revolute,0.010602,0.013304,1.5898,0,1.5708,0,base_link,0,1,0,100,10,-3.14,3.14,,,,,,,,
left_arm,-0.000893113638092772,0.172410538496933,2.77555756156289E-17,0,0,0,3.64824554759342,0.0544185452421672,0.000425031939006034,5.15828334546812E-19,0.00551340267860238,3.59003427926645E-18,0.0544358083122559,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_arm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_arm.STL,,arm-2,Origin_left_arm_joint,Axis_left_arm_joint,left_arm_joint,revolute,0,0.1016,0,1.5708,-1.5708,0,left_shoulder,1,0,0,100,10,-3.14,3.14,,,,,,,,
left_elbow,1.38777878078145E-17,1.73472347597681E-18,0.11606676677164,0,0,0,1.74639332378377,0.00724841040068815,-9.33059730959815E-19,-1.28949695704378E-18,0.00751277539646961,8.35321357120543E-19,0.00323005681450046,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_elbow.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_elbow.STL,,elbow-2,Origin_left_elbow_joint,Axis_left_elbow_joint,left_elbow_joint,revolute,0,0.381,0,1.5708,1.5708,0,left_arm,1,0,0,100,10,-3.14,3.14,,,,,,,,
left_wrist,8.32667268468867E-17,0,0.060409096734418,0,0,0,0.728849105066119,0.00186899083790638,-3.05705416583082E-21,1.61190820908969E-19,0.00205929919732262,-5.7117951154831E-21,0.000957693606063723,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_wrist.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_wrist.STL,,wrist-2,Origin_left_wrist_joint,Axis_left_wrist_joint,left_wrist_joint,revolute,0,0,0.20574,0,0,0,left_elbow,0,0,1,100,10,-3.14,3.14,,,,,,,,
right_shoulder,-3.96292052506908E-08,0.0726345100381243,-2.16708131745014E-07,0,0,0,1.56019572503002,0.0065638867985185,1.41063788375166E-09,9.10761048538323E-10,0.00579342443455913,1.77577534679862E-09,0.00559373575880952,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_shoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_shoulder.STL,,shoulder_pt1-1,Origin_right_shoulder_joint,Axis_right_shoulder_joint,right_shoulder_joint,revolute,0.010602,-0.49978,1.5898,0,-1.5708,0,base_link,0,1,0,100,10,-3.14,3.14,,,,,,,,
right_arm,-0.000893113638092545,0.172410538496933,-1.11022302462516E-16,0,0,0,3.64824554759342,0.0544185452421672,0.000425031939006017,8.37442146411413E-19,0.00551340267860238,6.60907236986942E-18,0.0544358083122559,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_arm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_arm.STL,,arm-1,Origin_right_arm_joint,Axis_right_arm_joint,right_arm_joint,revolute,0,0.1016,0,1.5708,-1.5708,0,right_shoulder,1,0,0,100,10,-3.14,3.14,,,,,,,,
right_elbow,-1.11022302462516E-16,3.12250225675825E-17,0.11606676677164,0,0,0,1.74639332378377,0.00724841040068815,1.7205356741103E-19,1.46010738420509E-18,0.0075127753964696,-1.9422670934523E-18,0.00323005681450046,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_elbow.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_elbow.STL,,elbow-1,Origin_right_elbow_joint,Axis_right_elbow_joint,right_elbow_joint,revolute,0,0.381,0,1.5708,-1.5708,0,right_arm,1,0,0,100,10,-3.14,3.14,,,,,,,,
right_wrist,-2.22044604925031E-16,1.59594559789866E-16,0.0604090967344179,0,0,0,0.728849105066118,0.00186899083790638,-2.97155405962741E-19,4.87374547293201E-19,0.00205929919732262,-4.64593380861232E-19,0.000957693606063722,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_wrist.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_wrist.STL,,wrist-1,Origin_right_wrist_joint,Axis_right_wrist_joint,right_wrist_joint,revolute,0,0,0.20574,0,0,0,right_elbow,0,0,1,100,10,-3.14,3.14,,,,,,,,
left_hip,-3.24063686996112E-08,-0.0838074396606449,-2.93284197018517E-07,0,0,0,1.93964619163942,0.0106525223302184,7.10819583347524E-10,1.35242370949113E-09,0.00698383305415745,1.23222038684469E-08,0.00888495918343655,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_hip.STL,,hip-2,Origin_left_hip_joint,Axis_left_hip_joint,left_hip_joint,revolute,0.010602,0,1.1072,3.1416,-1.5708,0,base_link,0,1,0,100,10,-3.14,3.14,,,,,,,,
